1693;Elon Musk starlink: final frontier for africa's internet? ;Journal ;ISSN: 2606-3778 ;PU26056B10;1;Main
1694;CrÇez une boite qui vous ressemble ;Book ;ISSN: 17685958 ;PU26057B10;1;Main
1695;FOR“TS : L'AFRIQUE DERNIER POUMON DE LA PLAN‘TE? ;Book ;ISSN: 09989307 ;PU26058B10;1;Main
1696;En finir avec le fossÇ hommes femmes ET SAVOIR TIRERPROFIT DE TOUS LES TALENTS;Book ;ISSN: 0017-8012 ;PU26059B10;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1697;Level 2: Robin Hood (Pearson English Graded Readers) ;Book ;ISBN: 1405842911ISBN_13: 9781405842914;LA 17121B5;1;Main
1698;Level 1: The Adventures of Tom Sawyer (Pearson EnglishGraded Readers);Book ;ISBN: 1405842776ISBN_13: 9781405842778;LA 17122B5;1;Main
1699;Level 2 : three short stories of sherlock holmes ;Book ;ISBN_13: 9781405855433 ;LA 17123B5;1;Main
1700;Level 5: Tales of Mystery and Imagination (Pearson EnglishGraded Readers);Book ;ISBN: 1405862548ISBN_13: 9781405862547;LA 17047B5;2;Main
1701;Level 1: Muhammad Ali (Pearson English Graded Readers) ;Book ;ISBN: 1405881534ISBN_13: 9781405881531;LA 17125B5;1;Main
1702;Level 2: The Last of the Mohicans (Pearson English GradedReaders);Book ;ISBN: 1405842873ISBN_13: 9781405842877;LA 17126B5;1;Main
1703;Level 4: The Locked Room and Other Horror Stories(Pearson English Graded Readers);Book ;ISBN: 1405882247ISBN_13: 9781405882248;LA 17127B5;1;Main
1704;Level 5: Outstanding Short Stories (Pearson English GradedReaders);Book ;ISBN: 1405865199ISBN_13: 9781405865197;LA 17128B5;1;Main
1705;Animal Farm ;Book ;ISBN: 1292231289ISBN_13: 9781292231280;LA 17129B5;1;Main
1706;Architecture logicielle propre ;Book ;ISBN: 2326002679ISBN_13: 9782326002678;IT 8061B3;1;Main
1707;ENVIRONMENT VS DEVELOPMENT: THE DEBATE DIVIDINGAFRICA;Book ;ISSN: 0141-3929 ;PU26061B10;1;Main
1708;VOUS AUSSI PARTEZ EN VACANCES DANS LE METAVERSE ! ;Book ;ISSN: 2268-1280 ;PU26062B10;1;Main
1709;L'ETAT PROTEGE-T-IL VRAIMENT NOS DONNEES? ;Book ;ISSN: 2268-1280 ;PU26063B10;1;Main
1710;de la SociÇtÇ MathÇmatique de France [ Juillet 2022] N¯173 ;Book ;PU26064B10;1;Main;
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1711;CONCEPTION 3D C'EST L'ETE CHANGEZ DE DECO ;Book ;ISSN: 2268-1280 ;PU26065B10;1;Main
1712;Afrique Le lait sans la poudre ;Book ;ISSN: 0981-6968 ;PU26066B10;1;Main
1713;CHANGER DE VIE ;Book ;ISSN: 09989307 ;PU26067B10;1;Main
1714;MARKETING MANAGEMENT 16e Çdition + MyLab ;Book ;ISBN: 232600213XISBN_13: 9782326002135;MK 15009B4;1;Main
1715;stratÇgie ocÇan bleu: Comment crÇer de nouveaux espacesstratÇgiques (French Edition);Book ;ISBN: 2744066303ISBN_13: 9782744066306;BU14022B4;1;Main
1716;Applied Numerical Linear Algebra ;Book ;ISBN: 0898713897ISBN_13: 9780898713893;MA 6112B3;1;Main
1717;LE SEXE SANS TABOU ;Book ;ISSN: 22667989 ;PU26068B10;1;Main
1718;LES ASSISTANTS VOCAUX HAUSSENT LE TON ;Book ;ISSN: 22667989 ;PU26069B10;1;Main
1719;le journal des Çnergies renouvelables ;Book ;ISSN: 2491-8687 ;PU26071B10;1;Main
1720;NEURONE, DEEP LEARNING ET VISION ARTIFICIELLE : UNEPLONGêE DANS L'HISTOIRE;Journal ;PU26072B10;1;Main;
1721;Le tissu de nos singularitÇs: vivre ensemble au Maroc(French Edition);Book ;ISBN: 9954369910ISBN_13: 9789954369913;SH18068B6;1;Main
1722;Les champions nationaux, l'Çquation du dÇveloppement auMaroc (French Edition);Book ;ISBN: 9954987932ISBN_13: 9789954987933;SH18067B6;1;Main
1723;LES JEUNES DU MAROC COMPRENDRE LES DYNAMIQUESPOUR UN NOUVEAU CONTRAT SOCIAL;Book ;SH18066B6;1;Main;
1724;TheMissing Coins by Escott, John ( Author ) ON Apr-02-2008,Paperback;Book ;ISBN: 1405876689ISBN_13: 9781405876681;LA 17131B5;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1725;Ö quoi ressemblera l'internet du futur ;Journal ;ISSN: 2268-1280 ;PU26073B10;1;Main
1726;La Gouvernance ;Book ;ISBN: 2715412843ISBN_13: 9782715412842;SH18065B6;1;Main
1727;La Gouvernance ;Book ;ISBN: 2715412843ISBN_13: 9782715412842;SH18065B6;2;Main
1728;La Gouvernance ;Book ;ISBN: 2715412843ISBN_13: 9782715412842;SH18065B6;3;Main
? Page 17 of 20, showing 100 records out of 1942 total, starting on record 1601, ending on 1700;;;;;;
;;;;;;
04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1729;Seven Husbands of Evelyn Hugo ;Book ;ISBN: 1398515698ISBN_13: 9781398515697;LA 17132B5;1;Main
1730;Le Chemin des possibles ;Book ;ISBN: 9920753165ISBN_13: 9789920753166;FR 16222B5;1;Main
1731;Le Chemin des possibles ;Book ;ISBN: 9920753165ISBN_13: 9789920753166;FR 16222B5;2;Main
1732;Le Chemin des possibles ;Book ;ISBN: 9920753165ISBN_13: 9789920753166;FR 16222B5;3;Main
1733;Les Nouveaux rÇseaux Sociaux pour vendre sesTalents;Publication ;ISSN: 22667989 ;PU 26074B10;1;Main
1734;gagner en intuition, mÇmoire, crÇativitÇ,intelligence(s)... DEVENEZ UN MANAGERMENTALISTE;Journal ;PU 26075B10;1;Main;
1735;SpÇcial RUMINANTS ;Journal ;PU 26082B10;1;Main;
1736;Afrique La faim continue de progresser ;Journal ;PU 26083B10;1;Main;
1737;L'ordinateur quantique va tout bouleverser ;Journal ;ISSN: 2266-7989 ;PU 26084B10;1;Main
1738;THE FUTURE OF URBAN TRANSIT ;Journal ;ISSN: 0141-3929 ;PU 26085B10;1;Main
1739;LE QATAR FACE AU BUT ;Book ;ISSN: 09989307 ;PU 26076B10;1;Main
1739;LE QATAR FACE AU BUT ;Book ;ISSN: 09989307 ;PU 26076B10;1;Main
1740;la Gazette de la SociÇtÇ MathÇmatique de FranceOctobre 2022 N¯174;Book ;ISBN: 02248999 ;PU 26077B10;1;Main
1741;êconomiser sans vous priver, nos solutionsconnectÇes pour rÇduire de 10% la facture;Book ;ISSN: 2268-1280 ;PU 26078B10;1;Main
1742;le journal des Çnergies renouvelables ;Book ;ISSN: 24918687 ;PU 26080B10;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:18 1/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1743;AFRICA'S DIASPORA, Integration or separation ? ;Journal ;ISSN: 2606-3778 ;PU 26081B10;1;Main
1744;IA & SÇcuritÇ, Çtat des lieux ;Journal ;PU 26079B10;1;Main;
1745;SpÇcial aviculture ;Journal ;PU 26089B10;1;Main;
1746;InÇdit De la vigne au SÇnÇgal ;Journal ;PU 26088B10;1;Main;
1747;Afrique de sud le gÇant en panne ;Journal ;ISSN: 0998-9307 ;PU 26087B10;1;Main
1748;notre guide anti-arnaques ne vous faites plus avoir ! ;Journal ;ISSN: 2266-7989 ;PU 26086B10;1;Main
1749;Justice at last ? ;Book ;ISSN: 2606-3778 ;PU 26090B10;1;Main
1750;BRILLEZ ∑ L'ORAL ;Book ;PU 26091B10;1;Main;
1751;Best of 2022 les entrepreneurs ;Book ;ISSN: 09989307 ;PU 26092B10;1;Main
1752;A quoi va ressembler votre prochain boss ? ;Book ;ISSN: 0017-8012 ;PU 26094B10;1;Main
1753;PENSEZ VERT OPTEZ POURDES PRODUITSDURABLES;Book ;ISSN: 22667989 ;PU 26095B10;1;Main
1754;CES VILLES INTELLIGENTES OU IL FAIT MIEUX VIVRE. ;Book ;ISSN: 22667989 ;PU 26096B10;1;Main
1755;FORCES ROYALES AIR MAROCAIN ;Journal ;PU 26099B10;1;Main;
1756;FABRIQUEZ VOTRE ROBOT ;Journal ;ISSN: 2266-7989 ;PU 26097B10;1;Main
1757;Reportage Le Togo, roi du soja biologique ;Journal ;ISSN: 2741-7255 ;PU 26098B10;1;Main
1758;English vocabulary builder workbook ;Book ;ISBN_13: 9781393493457 ;LA 17133B5;1;Main
1759;LA FIN DE LA FRANCE EN AFRIQUE ;Journal ;PU 26100B10;1;Main;
1760;mission critical How africa can profit from itsmineral boom;Journal ;PU 26101B10;1;Main;
? 04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:18 2/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1761;osez parler d'argent ;Journal ;PU 26102B10;1;Main;
1762;Reconnaissance faciale pourquoi nous n'yÇchapperons pas;Journal ;PU 26103B10;1;Main;
1763;GranulÇs de bois, filiäre en expansion ;Journal ;PU 26104B10;1;Main;
1764;Kaplan TOEIC Vocabulary Prep ;Book ;ISBN: 1625233396ISBN_13: 9781625233394;DI 24011B10;1;Main
1766;The report 2015 Morocco ;Book ;PU 26013B10;1;Main;
1767;UNIVERSITê ET DYNAMIQUES SOCIêTALES AUMAROC;Book ;SH 18069B6;1;Main;
1768;Supply Chain Performance Management ;Book ;ISBN: 3503120475ISBN_13: 9783503120475;GI 12038B4;1;Main
1769;Cases and Materials on the Regulation ofInternational Business and Economic Relations;Book ;ISBN: 0820500569ISBN_13: 9780820500560;BU 14023B4;1;Main
1770;Surprenants entrepreneurs marocains : 12 secretstirEs de 27 rEussites marocaines;Book ;ISBN: 9954104267ISBN_13: 9789954104262;BU 14024B4;1;Main
1771;Multinational Business Finance ;Book ;ISBN: 020132552ISBN_13: 9780201325522;EF 10033B3;1;Main
1772;Economics ;Book ;ISBN: 039577716ISBN_13: 9780395777169;EF 10032B3;1;Main
1773;40R A Quarterly Journal of Operations Research ;Book ;ISSN: 16194500 ;JA 25010B10;1;Main
1774;40R A Quarterly Journal of Operations Research ;Journal ;ISSN: 16194500 ;JA 25011B10;1;Main
1775;40R A Quarterly Journal of Operations Research ;Journal ;ISSN: 16194500 ;JA 25012B10;1;Main
1776;40R A Quarterly Journal of Operations Research ;Journal ;ISSN: 16194500 ;JA 25013B10;1;Main
1777;40R A Quarterly Journal of Operations Research ;Journal ;ISSN: 16194500 ;JA 25014B10;1;Main
? 04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:18 3/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1778;Half a billion jobs by 2050 ? ;Journal ;PU 26106B10;1;Main;
1779;Soft Power Africa ;Publication ;ISSN: 09989307 ;PU 26107B10;1;Main
1780;Soft Power Africa ;Publication ;ISSN: 09989307 ;PU 26107B10;1;Main
1781;DEMAIN QUELLE INTELLIGENCE ARTIFICIELLE ? ;Journal ;ISSN: 37811678 ;PU 26108B10;1;Main
1782;QUI EST VRAIMENT CHATGPT ? ;Journal ;ISSN: 37813262 ;PU 26109B10;1;Main
1783;VERS UNE AGRICULTURE PLUS VERTE GR∂CE AUNUMêRIQUE;Publication ;ISSN: 37813262 ;PU 26110B10;1;Main
1784;TOUT CE QU'IL FAUT SAVOIR SUR WIFI 7 ;Journal ;ISSN: 37813262 ;PU 26111B10;1;Main
1785;L'EXCEPTION NIGER ;Journal ;ISSN: 37813888 ;PU 26112B10;1;Main
1786;CAN THE GREAT GREEN WAIL SAVE THE SAHEL ? ;Journal ;ISSN: 37803136 ;PU 26113B10;1;Main
1787;Retrouvez le sommeil grÉce au numÇrique ;Journal ;ISSN: 37813262 ;PU 26114B10;1;Main
1788;Le point sur la gÇothermie ;Journal ;PU 26115B10;1;Main;
1789;50 faáons d'affirmer son leadership ;Journal ;ISSN: 37819238 ;PU 26116B10;1;Main
1790;DU WIFI AU TOP DANS TOUTE LA MAISON ;Book ;ISBN_13: 3781326204507 ;PU 26117 ;1;Main
1791;PROLONGER LA VIE DE VOTRE PC ;Book ;PU 26118B10;1;Main;
1792;Picking up steam: Africa's geothermal future ;Book ;PU 26119B10;1;Main;
1793;L'AFRIQUE DANS LE MONDE ;Book ;PU 26120B10;1;Main;
1794;FAITES-VOUS ASSISTER PAR UNE IA ;Book ;PU 26121B10;1;Main;
? 04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:18 4/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1795;LES BONNES AFFAIRES DE LA BROCANTE EN LIGNE ;Book ;PU 26122B10;1;Main;
1796;CHANGER DE VIE ;Book ;PU 26123B10;1;Main;
1797;JE JOUE DE GUITARE ROCK ;Book ;ISBN_13: 9781445483504 ;DM 27150B9;1;Main
1798;L'ESPACE MAROCAIN N¯106 ;Book ;PU 26118B10;1;Main;
1799;L'ESPACE MAROCAIN N¯106 ;Book ;PU 26118B10;4;Main;
1800;L'ESPACE MAROCAIN N¯107 ;Book ;PU 26119B10;1;Main;
1801;L'ESPACE MAROCAIN N¯107 ;Book ;PU 26119B10;4;Main;
1802;L'ESPACE MAROCAIN N¯106 ;Book ;PU 26118B10;3;Main;
1803;L'ESPACE MAROCAIN N¯106 ;Book ;PU 26118B10;2;Main;
1804;L'ESPACE MAROCAIN N¯107 ;Book ;PU 26119B10;3;Main;
1805;L'ESPACE MAROCAIN N¯107 ;Book ;PU 26119B10;2;Main;
1806;HOUSING THE NEXT BILION ;Book ;PU 26120B10;1;Main;
1807;N¯443-444 AFRIQUE MAGAZINE ;Book ;PU 26121B10;1;Main;
1808;La correspondance commerciale ;Book ;BU 14025B4;1;Main;
1809;La correspondance commerciale ;Book ;BU 14025B4;1;Main;
1810;Droit commercial ;Book ;DR 22004B8;1;Main;
? 04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:18 5/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1811;The Fourth market theory and the paths todifferentiation in the islamic finance industry;Book ;ISBN_13: 9789833729388 ;EF 10037B3;1;Main
1812;The Fourth market theory and the paths todifferentiation in the islamic finance industry;Book ;ISBN_13: 9789833729388 ;EF 10037B3;2;Main
1813;Diagnostic Financier et Evaluation de l'Entreprise ;Book ;ISBN: 9981894184 ;EF 10036B3;1;Main
1814;Finance d'Entreprise Analyse et diagnostic financiers ;Book ;ISBN: 992189477x ;EF 10035B3;1;Main
1815;ComptabilitÇ analytique d'exploitation ;Book ;EF 10034B3;1;Main;
1816;The future of African Energy ;Book ;ISBN_13: 3780313605006 ;PU 26125B10;1;Main
1817;Exclusive interviews and insights: Delivering thevision of a prosperous Africa;Book ;ISSN: 0141-3929 ;PU 26124B10;1;Main
1818;Can the brics break the US Dollar ? ;Book ;PU 26123B10;1;Main;
1819;Afrique Magazine: SÇnÇgal Le choix de Macky ;Book ;PU 26123B10;1;Main;
1820;Afrique magazine: Putsch ;Book ;PU 26128B10;1;Main;
1821;Cultiver ses rÇseaux ( Septembre / Octobre 2023 ) ;Book ;PU 26127B10;1;Main;
1822;Changer de vie pour changer le monde ;Book ;PU 26126B10;1;Main;
1823;Salaires des cadres ;Book ;PU 26135B10;1;Main;
1824;Major Climate Issues Commitments and financing ;Book ;PU 26132B10;1;Main;
1825;L'OcÇan, une ressource Ö protÇger ;Book ;PU 26134B10;1;Main;
1826;Marrakech Marque mondiale ;Book ;PU 26137B10;1;Main;
1827;L'Çconomiste Campus ( Guide 2023 ) ;Book ;PU 26136B10;1;Main;
1828;Agadir Le New Deal ;Book ;PU 26130B10;1;Main;
? Page 18 of 20, showing 100 records out of 1942 total, starting on record 1701, ending on 1800;;;;;;
;;;;;;
04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:18 6/7;;;;;;
;;;;;;
04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:18 7/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1829;Dakhla Oser Investir ;Book ;PU26131B10;1;Main;
1830;La sÇcuritÇ alimentaire, un dÇfi de long terme ;Book ;PU26133B10;1;Main;
1831;Mohammedia Joker industriel ;Book ;PU26129B10;1;Main;
1832;Le facteur temps ne sonne jamais deux fois (Champssciences (942));Book ;ISBN: 2081220229ISBN_13: 9782081220225;FR16088B5;2;Main
1833;#Girlboss ;Book ;ISBN: 0241217938ISBN_13: 9780241217931;LA 17139B5;1;Main
1834;L'entreprise sociale (aussi) a besoin d'un business plan ;Book ;ISBN: 2917770279ISBN_13: 9782917770276;BU14026B4;1;Main
1835;Systämes dynamiques - 2e ed - Cours et exercicescorrigÇs: Cours et exercices corrigÇs;Book ;ISBN: 2100742612ISBN_13: 9782100742615;MA 6113 B3;1;Main
1836;Cinenews ;Publication ;PU26139B10;1;Main;
1837;Cinenews ;Publication ;PU26139B10;2;Main;
1838;Plaidoyer pour les Arabes: Vers un rÇcit universel ;Book ;ISBN: 2080232150ISBN_13: 9782080232151DDC: DON FR;SH18070B6;1;Main
1839;Poutine, l'itinÇraire secret ;Book ;ISBN: 2253194441ISBN_13: 9782253194446;FR16224B5;1;Main
1840;Strengths finder 2.0 ;Book ;ISBN: 159562015XISBN_13: 9781595620156;DP19074B7;2;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:19 1/9;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1841;Le docteur Jivago (French Edition) ;Book ;ISBN: 2070360792ISBN_13: 9782070360796DDC: DON FR;FR16232B5;1;Main
1842;La Valeur de la science ;Book ;ISBN: 2081265982ISBN_13: 9782081265981DDC: DON FR;PI 21030B8;1;Main
1843;Metaphysique Des Tubes (French Edition) ;Book ;ISBN: 2051016232ISBN_13: 9782253152842;FR16225B5;1;Main
1844;MêFIEZ-VOUS DES PARACHUTISTES ;Book ;ISBN: 2290321656ISBN_13: 9782290321652;FR16226B5;1;Main
1845;RÇinventer l'Occident Essai sur une crise Çconomique etculturelle;Book ;ISBN: 2081218410ISBN_13: 9782081265929;FR16227B5;1;Main
1846;Fictions ;Book ;ISBN: 2070366146ISBN_13: 9782070366149;FR16229B5;1;Main
1847;L'Çtranger (export) ;Book ;ISBN: 2070411613ISBN_13: 9782070411610;FR16140B5;1;Main
1848;L'Çtranger (Collection Folio, no. 2) (French Edition) ;Book ;ISBN: 2070360024ISBN_13: 9782070360024;FR16140B5;2;Main
1849;Le livre des Merveilles ;Book ;ISBN: 2035846471ISBN_13: 9782013235235;FR16228B5;1;Main
1850;L'Homme Qui Voulait Etre Heureux (Romancontemporain) (French Edition);Book ;ISBN: 2266186671ISBN_13: 9782266186674;FR16053B5;2;Main
1851;Nouvelle Alliance (Folio Essais) (French Edition) ;Book ;ISBN: 2070323242ISBN_13: 9782070323241;FR16164B5;2;Main
1852;Dans la Google du loup ;Book ;ISBN: 2259248780ISBN_13: 9782259248785;FR16230B5;1;Main
? 04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:19 2/9;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1853;La promesse de l'aube ;Book ;ISBN: 2070396568ISBN_13: 9782070363735;FR16231B5;1;Main
1854;OPERATIONS RESEARCH: AN INTRODUCTION ;Book ;ISBN: 0131360140ISBN_13: 9780131360143;MA 6114B3;1;Main
1855;Management des opÇrations Principes et applications ;Book ;ISBN: 2744074527ISBN_13: 9782357450752;MK 15012B4;1;Main
1856;Branding management : La marque, de l'idÇe Ö l'action ;Book ;ISBN: 2744070572ISBN_13: 9782744070570;MK 15010B4;1;Main
1857;1;;;;;
1858;Management des systämes d'information ;Book ;ISBN: 2326000013ISBN_13: 9782326000018;MK 15011B4;1;Main
1859;L'approche processus: Mode d'emploi (French Edition) ;Book ;ISBN: 2708134825ISBN_13: 9782708134829DDC: DON FR;EF 10038B3;1;Main
1860;Introduction Ö la microÇconomie, 3e Çdition ;Book ;ISBN: 2744500062ISBN_13: 9782744500060DDC: DON FR;EF 10039B3;1;Main
1861;GÇrez un projet gagnant !: Manuel de coñtenance ;Book ;ISBN: 2124755889ISBN_13: 9782124755882DDC: DON FR;BU14027B4;1;Main
1862;Management de la maintenance - 2äme Çdition:AmÇliorez les performances opÇrationnelles etfinanciäres de votre maintenance (Fonctions del'entreprise);Book ;ISBN: 2100501593ISBN_13: 9782100501595DDC: DON FR;GI 12039B4;1;Main
1863;AmÇlioration continue en maintenance - Techniquesd'audit et plan de progräs: Techniques d'audit et plande progräs;Book ;ISBN: 2100488929ISBN_13: 9782100488926DDC: DON FR;GI 12040B4;1;Main
1864;Le e-learning: Ce qu'il faut savoir sur la formationdistancielle;Book ;ISBN: 2124657755ISBN_13: 9782124657759DDC: DON FR;DP19104B7;1;Main
? 04/06/2025 23:53 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:19 3/9;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1865;Management industriel et logistique - concevoir etpiloter la supply chain (GESTION DIRIGEE);Book ;ISBN: 2717866175ISBN_13: 9782717866179;GI 12034B4;2;Main
1866;100 fiches pour comprendre la stratÇgie desentreprises;Book ;ISBN: 2842919815ISBN_13: 9782842919818DDC: DON FR;BU14027B4;1;Main
1867;Connectez-vous Ö vous-màme ;Book ;ISBN: 2714453708ISBN_13: 9782714453709DDC: DON FR;DP19105B7;1;Main
1868;Le monde en 2035 vu par la CIA et le Conseil Nationaldu renseignement: Le paradoxe du progräs;Book ;ISBN: 2290153141ISBN_13: 9782290153147DDC: DON FR;HP20071B8;1;Main
1869;Il est grand temps de rallumer les Çtoiles (FrenchEdition);Book ;ISBN: 2253100498ISBN_13: 9782253100492DDC: DON FR;FR16233B5;1;Main
1870;Le secret du mari (French Edition) ;Book ;ISBN: 2253067946ISBN_13: 9782253067948DDC: DON FR;FR16234B5;1;Main
